id_aluno,genero,ano_nasc,ano_ingresso,tipo_instituicao,pedra,inde,cf,ct,n_av,avaliador_1,rec_av_1,avaliador_2,rec_av_2,avaliador_3,rec_av_3,avaliador_4,rec_av_4,iaa,ieg,ips,rec_psicologia,ida,matem,portug,ingles,indicado_bolsa,ipv,ian,destaque_ieg,destaque_ida,destaque_ipv,ano,ipp,avaliador_5,avaliador_6,escola,fase,fase_ideal,fase_grupo,idade,tempo_vinculo,defas,atingiu_pv,em_risco
1023,0,2014.0,2023,Pública,Topázio,9.1342,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,10.0,10.0,6.27,,9.1,8.5,9.7,,,9.06,10.0,,,,2023,8.75,,,,1.0,1.0,fase_0_7,9.0,0,0.0,True,False
1023,0,2014.0,2023,Pública,Topázio,9.4985809523,,,3.0,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,9.511904762,9.375,,9.5,9.0,10.0,,,9.563333333,10.0,,,,2024,8.958333333,,,EE Dom Pedro Villas Boas de Souza,2.0,2.0,fase_0_7,10.0,1,0.0,True,False
1024,0,2013.0,2023,Pública,Ametista,7.788875,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,10.0,6.27,,9.8,10.0,9.5,,,8.95,5.0,,,,2023,9.21875,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1024,0,2013.0,2023,Pública,Topázio,8.6516166666,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,8.002,10.0,7.51,,10.0,10.0,10.0,,,8.783333333,5.0,,,,2024,8.4375,,,Escola João Paulo II,1.0,2.0,fase_0_7,11.0,1,-1.0,True,True
1025,1,2013.0,2023,Pública,Topázio,8.215158333,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,8.9,7.52,,7.5,7.5,7.5,,,7.836666667,10.0,,,,2023,7.65625,,,,1.0,1.0,fase_0_7,10.0,0,0.0,False,False
1025,1,2013.0,2023,Pública,Ametista,7.897071212,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.002,7.727272727,7.51,,9.0,10.0,8.0,,,7.783333333,5.0,,,,2024,8.4375,,,EE Dom Pedro Villas Boas de Souza,1.0,2.0,fase_0_7,11.0,1,-1.0,False,True
1026,0,2009.0,2023,Pública,Agata,6.494825,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,9.8,7.52,,3.2,2.3,4.0,,,7.06,2.5,,,,2023,6.40625,,,,1.0,4.0,fase_0_7,14.0,0,-3.0,False,True
1027,0,2013.0,2023,Pública,Ametista,7.748866667,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.5,9.7,7.52,,6.0,4.2,7.7,,,8.333333333,5.0,,,,2023,7.5,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1027,0,2013.0,2023,Pública,Topázio,8.220866666700001,,,3.0,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,10.0,7.51,,5.25,6.0,4.5,,,8.39,10.0,,,,2024,7.916666667,,,EE Bairro Boa Vista,2.0,2.0,fase_0_7,11.0,1,0.0,False,False
1028,1,2012.0,2023,Pública,Agata,6.415708333,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,9.2,7.52,,5.0,5.0,5.0,,,7.946666667,5.0,,,,2023,7.34375,,,,1.0,2.0,fase_0_7,11.0,0,-1.0,False,True
1028,1,2012.0,2023,Pública,Ametista,7.1404338602,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,8.002,7.055335968,5.63,,7.5,6.0,9.0,,,8.393333333,5.0,,,,2024,6.875,,,EE Olivia de Faria Nogueira,1.0,3.0,fase_0_7,12.0,1,-2.0,False,True
1029,0,2014.0,2023,Pública,Ametista,7.058533333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,10.0,6.3,3.77,,5.4,3.5,7.2,,,8.006666667,10.0,,,,2023,7.5,,,,1.0,1.0,fase_0_7,9.0,0,0.0,False,False
1029,0,2014.0,2023,Pública,Ametista,7.797790909100001,,,2.0,Avaliador-3,,Avaliador-15,,,,,,9.002,8.7954545455,6.885,,8.75,8.0,9.5,,,7.25,5.0,,,,2024,7.5,,,EE Dom Pedro Villas Boas de Souza,1.0,2.0,fase_0_7,10.0,1,-1.0,False,True
103,0,2009.0,2020,Rede Decisão,Topázio,8.107,11.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.7,7.5,Não atendido,7.3,7.3,7.3,7.3,Não,7.708,10.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,8.253999999999992,,,,4.0,3.0,fase_0_7,13.0,2,1.0,False,False
103,0,2009.0,2020,Privada - Programa de Apadrinhamento,Topázio,8.0239,,,4.0,Avaliador-24,,Avaliador-7,,Avaliador-23,,Avaliador-8,,8.3,9.2,5.0,,7.1,7.3,6.3,7.7,,8.09,10.0,,,,2023,8.125,,,,5.0,4.0,fase_0_7,14.0,3,1.0,False,False
103,0,2009.0,2021,Privada - Programa de Apadrinhamento,Topázio,8.775268254,,,5.0,Avaliador-23,,Avaliador-24,,Avaliador-26,,Avaliador-1,,8.334,9.603174603333336,6.26,,9.166666666666666,9.0,9.0,9.5,,8.872,10.0,,,,2024,7.875,Avaliador-7,,Colégio Arco Íris Evolução,5.0,5.0,fase_0_7,15.0,3,0.0,True,False
1030,1,2012.0,2023,Pública,Ametista,7.4027,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,8.5,9.7,3.77,,6.9,6.2,7.5,,,8.39,5.0,,,,2023,6.875,,,,1.0,2.0,fase_0_7,11.0,0,-1.0,False,True
1030,1,2012.0,2023,Pública,Ametista,7.740191604,,,3.0,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,7.418,8.28320802,4.385,,8.0,10.0,6.0,,,7.61,10.0,,,,2024,7.8125,,,EE Paschoal Carlos Magno,2.0,2.0,fase_0_7,12.0,1,0.0,False,False
1031,1,2013.0,2023,Pública,Ametista,7.0602,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,8.0,8.8,7.52,,5.9,4.8,7.0,,,7.006666667,5.0,,,,2023,6.666666667,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1031,1,2013.0,2023,Pública,Agata,6.8757227273,,,2.0,Avaliador-3,,Avaliador-15,,,,,,9.502,8.6363636365,7.51,,6.25,5.5,7.0,,,5.83,5.0,,,,2024,5.3125,,,EE Joaquim Mendes Feliz,1.0,2.0,fase_0_7,11.0,1,-1.0,False,True
1032,1,2013.0,2023,Pública,Ametista,7.434033333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,8.5,9.5,7.52,,6.0,5.7,6.2,,,7.563333333,5.0,,,,2023,7.291666667,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1032,1,2013.0,2023,Pública,Topázio,8.01645,,,2.0,Avaliador-3,,Avaliador-15,,,,,,8.502,9.75,7.51,,8.0,9.0,7.0,,,7.92,5.0,,,,2024,7.8125,,,EE Joaquim Mendes Feliz,1.0,2.0,fase_0_7,11.0,1,-1.0,False,True
1033,0,2012.0,2023,Pública,Topázio,8.126033333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,9.0,8.9,7.52,,7.9,7.0,8.8,,,9.006666667,5.0,,,,2023,8.125,,,,1.0,2.0,fase_0_7,11.0,0,-1.0,True,True
1034,1,2013.0,2023,Pública,Ametista,7.9642,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,7.5,9.0,7.52,,8.3,7.8,8.7,,,8.393333333,5.0,,,,2023,8.333333333,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
