id_aluno,ano,ieg,ida,ipv
191,2024,9.571,6.4,7.5
192,2022,3.6,2.7,4.708
192,2023,6.2,6.5,7.3775
192,2024,6.363636363666667,7.166666666666667,6.9
193,2022,8.9,6.7,8.5
193,2023,9.4,6.5,8.17
193,2024,9.848484848333332,7.0,8.7525
194,2022,6.2,3.2,3.75
195,2022,9.2,6.3,8.25
195,2023,9.2,6.0,8.79
195,2024,9.682539682666668,7.833333333333333,8.965
196,2022,9.1,5.1,8.625
196,2023,9.0,6.2,8.2125
196,2024,9.689754689666666,8.0,8.9225
197,2022,9.7,7.3,8.292
197,2023,9.8,7.2,8.46
197,2024,9.848484848333332,8.333333333333334,8.795
198,2022,6.2,4.6,5.958
199,2022,7.1,7.5,6.458
199,2023,7.6,8.5,8.505
199,2024,7.554824561666667,7.166666666666667,8.206
200,2022,5.6,5.5,4.917
200,2023,4.5,4.3,7.17
201,2022,7.3,6.5,7.542
202,2022,5.2,5.4,6.917
202,2023,7.9,5.9,8.005
202,2024,7.880952381,7.5,7.75
203,2022,4.3,2.8,6.875
204,2022,6.7,7.4,5.708
204,2023,7.9,7.1,8.045
204,2024,6.827094474333333,7.5,8.5875
205,2022,3.8,4.1,4.833
205,2023,7.6,6.6,7.09
206,2022,8.8,5.0,5.167
207,2022,4.8,5.8,5.708
208,2022,7.1,6.1,6.417
209,2022,4.8,6.0,3.75
210,2022,5.1,3.4,4.417
211,2022,8.8,7.6,8.458
211,2023,9.4,7.1,8.71
211,2024,9.379509379666668,7.0,7.866
212,2022,8.4,6.2,6.958
213,2022,8.7,3.5,6.833
214,2022,6.1,4.3,5.125
215,2022,5.8,7.8,6.542
215,2023,6.6,6.9,7.7125
215,2024,6.455627705333334,5.666666666666667,7.432
216,2022,8.5,7.0,5.583
217,2022,8.5,7.1,7.292
217,2023,8.6,5.6,8.5025
217,2024,8.917748917666666,7.833333333333333,6.994
218,2022,7.3,4.0,6.125
218,2023,6.7,6.7,7.88
219,2022,6.9,3.5,6.375
220,2022,8.1,6.5,7.833
220,2023,7.6,6.1,7.5475
220,2024,8.198051948,6.833333333333333,7.332
221,2022,8.5,5.2,6.0
221,2023,9.0,5.0,7.38
222,2022,4.6,6.2,4.917
223,2022,4.6,3.1,5.583
223,2023,4.5,3.8,7.1725
224,2022,4.3,2.6,4.875
225,2022,5.3,5.0,5.708
226,2022,6.1,6.8,6.208
227,2022,6.4,3.3,5.833
227,2023,7.5,6.9,7.4625
227,2024,8.097577276666668,6.5,7.54
228,2022,6.7,4.8,6.417
229,2022,9.4,6.9,8.5
229,2023,9.8,7.8,8.42
229,2024,9.841269841333334,8.833333333333334,8.8375
230,2022,5.1,5.7,6.75
231,2022,7.4,3.8,5.333
232,2022,4.9,0.0,4.542
233,2022,7.4,3.8,5.5
234,2022,7.6,4.3,5.583
234,2023,8.0,5.6,5.595
235,2022,7.3,6.3,6.417
236,2022,7.5,3.7,7.208
236,2023,7.5,4.5,7.2975
236,2024,7.890668700666666,4.5,6.362
237,2022,9.0,7.8,8.417
237,2023,9.5,6.7,8.96
237,2024,9.689754689666666,7.666666666666667,8.336666667
238,2022,6.4,5.1,7.208
239,2022,3.7,3.7,5.958
239,2023,8.4,7.0,7.6275
239,2024,6.361737677333333,6.666666666666667,8.502
240,2022,8.1,4.7,7.042
240,2023,6.7,4.8,6.9175
241,2022,10.0,7.7,9.125
241,2023,9.9,7.5,9.545
241,2024,9.891666667,6.816666666666667,7.5
242,2022,9.7,8.2,8.708
242,2023,9.7,7.9,9.3775
242,2024,9.621,7.650000000000001,7.5
243,2022,8.7,6.0,7.875
244,2022,9.4,7.8,9.208
244,2023,8.8,7.3,8.8325
244,2024,10.0,9.5,8.17
245,2022,9.9,8.4,9.25
245,2023,10.0,8.1,9.5875
245,2024,9.953333333,8.033333333333333,7.5
246,2022,9.4,7.6,9.167
246,2023,9.9,6.8,8.9175
246,2024,0.0,0.0,7.5
247,2022,8.2,5.8,7.875
247,2023,8.5,7.2,7.5425
247,2024,8.306595365666666,4.333333333333333,8.5875
248,2022,7.6,5.2,7.292
249,2022,7.4,2.9,4.292
249,2023,8.2,4.9,6.545
249,2024,6.645021645,5.0,7.064
250,2022,8.6,6.6,7.625
250,2023,9.3,8.3,8.625
250,2024,9.629629629666669,9.166666666666666,8.95
251,2022,8.1,6.3,6.625
251,2023,8.0,5.3,7.835
251,2024,8.612836439,4.5,7.326666667
252,2022,2.8,0.9,3.875
253,2022,3.6,1.8,3.75
254,2022,7.4,5.3,6.917
254,2023,8.8,5.9,7.71
255,2022,3.8,1.3,5.542
256,2022,8.5,5.2,6.708
257,2022,6.4,3.6,6.708
258,2022,7.3,4.8,6.125
258,2024,6.944444444333333,2.5,6.732
259,2022,2.9,0.9,4.625
260,2022,8.2,5.0,6.458
260,2023,9.9,6.1,7.4175
260,2024,9.674603174666666,7.0,8.502
261,2022,7.2,5.8,7.042
262,2022,5.8,3.4,5.625
262,2023,3.7,3.8,6.05
262,2024,4.854560643666667,4.166666666666667,6.296
263,2022,5.6,3.7,4.417
264,2022,9.2,5.8,6.625
265,2022,7.7,6.9,7.917
265,2023,8.7,7.0,7.88
266,2022,5.8,6.0,6.583
267,2022,7.4,3.3,6.292
267,2023,7.7,2.7,6.505
267,2024,8.285533910333333,2.0,6.273333333
268,2022,6.7,5.7,7.208
269,2022,8.6,8.9,7.25
269,2023,9.0,7.4,8.7975
269,2024,9.6,8.200000000000001,7.5
270,2022,8.4,7.9,8.125
270,2023,9.0,6.6,9.1275
270,2024,0.0,0.0,7.5
271,2022,8.5,7.1,6.958
271,2023,9.3,5.9,7.7125
271,2024,8.958333333333334,7.333333333333333,6.7475
272,2022,5.7,5.1,6.417
273,2022,5.3,3.0,5.833
273,2023,7.4,5.0,7.6275
273,2024,7.323153899,4.5,6.896
274,2022,8.3,8.1,7.0
274,2023,9.5,7.5,8.295
274,2024,9.648148148,9.333333333333334,8.226666667
275,2022,6.9,4.6,6.667
276,2022,5.7,4.3,5.125
276,2023,8.5,5.5,6.585
277,2022,8.8,7.4,7.208
277,2023,9.9,5.5,8.7525
277,2024,9.741666667,6.9,7.5
278,2022,9.2,6.0,7.417
278,2023,9.8,5.6,8.3775
278,2024,9.855072463666666,9.333333333333334,7.946666667
279,2022,9.9,9.1,8.208
279,2023,10.0,8.9,9.2125
279,2024,10.0,9.333333333333334,8.726666667
280,2022,9.2,7.1,7.333
280,2023,9.5,6.5,8.7125
280,2024,9.855072463666666,9.333333333333334,8.67
281,2022,6.9,5.9,5.625
282,2022,6.8,4.0,5.625
283,2022,8.8,5.6,6.625
283,2023,9.5,6.8,7.5025
283,2024,9.761904762,8.0,7.736
284,2022,5.1,3.8,5.958
285,2022,4.1,2.8,5.75
285,2023,4.6,4.7,7.13
286,2022,5.8,3.0,5.625
286,2023,7.5,4.7,7.3375
286,2024,4.031862745000001,3.1666666666666665,5.7825
287,2022,3.4,1.1,4.292
287,2023,4.8,3.9,5.375
288,2022,5.6,0.0,6.833
289,2022,7.8,6.8,7.25
290,2022,3.9,1.7,6.042
291,2022,8.2,8.0,7.792
291,2023,8.6,7.1,9.21
291,2024,9.737666667,6.166666666666667,7.5
292,2022,3.7,1.8,6.292
293,2022,2.9,2.3,3.333
294,2022,5.8,0.0,5.917
295,2022,8.0,6.9,7.375
295,2023,8.8,7.7,9.005
296,2022,3.6,2.8,3.833
297,2022,7.9,6.6,7.417
298,2022,6.3,5.2,5.417
298,2023,8.6,5.5,7.7525
299,2022,8.2,6.8,6.708
299,2023,9.6,6.1,8.005
299,2024,8.963768115999999,8.166666666666666,7.5
300,2022,6.9,3.1,5.875
300,2023,7.5,4.5,6.5875
301,2022,5.8,6.3,6.042
301,2023,5.4,5.2,6.465
301,2024,7.494736842333332,9.0,8.21
302,2022,7.7,4.8,6.208
302,2023,7.3,4.3,6.255
303,2022,7.2,3.9,5.375
303,2023,7.3,5.1,7.05
303,2024,3.9520467836666655,5.666666666666667,7.535
304,2022,7.7,4.3,5.542
304,2023,8.8,5.7,7.835
304,2024,7.826890756333333,7.166666666666667,5.825
305,2022,6.6,4.8,5.208
305,2023,8.9,5.2,7.75
305,2024,7.898550724666666,4.833333333333333,7.03
306,2022,6.8,5.2,5.958
306,2023,7.9,4.0,7.46
306,2024,7.699561403666666,2.833333333333333,6.4125
307,2022,4.5,2.5,4.708
307,2023,6.5,6.3,7.46
308,2022,7.4,5.0,6.167
308,2023,6.8,4.9,7.5025
308,2024,8.714912280666667,6.5,7.1225
309,2022,5.2,6.5,5.083
310,2022,7.5,4.5,6.0
311,2022,5.6,5.2,6.222
312,2022,8.1,5.2,6.167
313,2022,7.0,4.1,5.889
313,2023,8.7,3.9,7.75
313,2024,9.666666666666666,4.833333333333333,8.1675
314,2022,5.4,5.3,6.0
315,2022,5.1,3.0,5.056
315,2023,6.8,6.3,7.8375
315,2024,5.918518518666667,6.833333333333333,7.6275
316,2022,10.0,6.1,8.389
316,2023,9.5,5.7,8.96
316,2024,10.0,8.0,8.3775
317,2022,5.6,6.8,5.944
318,2022,6.9,5.8,6.111
318,2023,8.1,4.9,7.71
318,2024,9.129629629666669,4.666666666666667,7.443333333
319,2022,7.7,5.2,7.5
